% compassObs.txt
% 
% This file contains heading observations taken from within the stage simulation.  The
% observations are decimated and Gaussian noise with standard deviation of 0.25rad has been
% added to the true heading.
%
% time(s) time(micro-seconds) heading(rad)
1115116000 462817 0.410215
1115116001 487858 0.164420
1115116002 516103 0.367827
1115116003 538422 -0.206701
1115116004 561256 -0.131999
1115116005 590829 0.250516
1115116006 615675 5.891497
1115116007 640592 5.704446
1115116008 665356 5.932637
1115116009 684472 6.099870
1115116010 715160 5.818492
1115116011 740087 5.441744
1115116012 766044 5.304933
1115116013 790882 5.079447
1115116014 814145 5.436103
1115116015 838995 5.623742
1115116016 863795 5.252064
1115116017 890481 5.172335
1115116018 913379 4.691883
1115116019 938211 4.727375
1115116020 963026 4.414712
1115116021 988137 4.575403
1115116023 13070 4.419878
1115116024 38714 4.628044
1115116025 62585 4.884713
1115116026 89024 4.792129
1115116027 112266 4.317090
1115116028 138705 4.538326
1115116029 162019 5.209469
1115116030 188395 4.477876
1115116031 208452 4.655095
1115116032 236465 4.101457
1115116033 373125 4.230150
1115116034 603701 4.239604
1115116035 925663 4.362545
1115116037 155874 4.437058
1115116038 488375 3.617747
1115116039 726890 3.981641
1115116041 51992 3.601538
1115116042 279903 3.517801
1115116043 620391 3.571323
1115116044 849433 3.626836
1115116046 72173 3.281018
1115116047 97020 3.238982
1115116048 129261 3.158780
1115116049 145701 2.980945
1115116050 170546 2.153360
1115116051 203266 2.585758
1115116052 227281 2.544651
1115116053 252283 2.648132
1115116054 276382 2.285727
1115116055 294202 2.291681
1115116056 319848 2.151088
1115116057 349723 1.334474
1115116058 374560 1.478836
1115116059 399467 1.439990
1115116060 424363 1.734977
1115116061 449178 1.670565
1115116062 468674 1.348010
1115116063 499097 1.342801
1115116064 524609 1.825813
1115116065 549527 1.768195
1115116066 568489 1.429019
1115116067 592911 1.234875
1115116068 626044 1.478180
1115116069 651648 1.573161
1115116070 677546 1.125737
1115116071 702947 0.845817
1115116072 717959 1.257019
1115116073 742759 2.031069
1115116074 777481 0.735999
1115116075 802589 1.212258
1115116076 827797 1.023344
1115116077 852592 0.599317
1115116078 876532 0.336573
1115116079 893106 0.281552
1115116080 925059 6.077530
1115116081 946745 5.885158
1115116082 976279 6.016487
1115116084 724 5.971331
1115116085 22350 6.033437
1115116086 44134 5.316196
1115116087 74175 5.564695
1115116088 98793 5.874183
1115116089 123555 5.937396
1115116090 143504 5.203985
1115116091 164089 5.024562
1115116092 199000 5.455148
1115116093 223579 5.591673
1115116094 243867 5.667161
1115116095 272582 6.046654
1115116096 296954 5.356028
1115116097 313454 6.337845
1115116098 338225 6.146911
1115116099 573917 6.161800
1115116100 900365 6.475975
1115116102 130114 6.319818
1115116103 466713 6.329876
1115116104 696337 5.759462
1115116106 24899 5.998648
1115116107 254763 5.930617
1115116108 592342 6.047099
1115116109 823203 6.263337
1115116111 149273 6.335060
1115116112 378611 6.078547
1115116113 716011 6.084841
1115116114 947441 5.854008
1115116116 273998 5.611715
1115116117 505115 5.637427
1115116118 837185 4.971862
1115116120 73535 4.750463
1115116121 397860 4.677416
1115116122 626959 4.190141
1115116123 966669 4.812848
1115116125 79124 4.025773
1115116126 104026 3.869922
1115116127 138711 3.736847
1115116128 163584 4.131570
1115116129 179303 3.914240
1115116130 203156 3.231350
1115116131 238083 3.100201
1115116132 256814 3.002996
1115116133 278051 3.711034
1115116134 312698 3.108934
1115116135 331418 3.566149
1115116136 352077 3.142526
1115116137 378053 3.100335
1115116138 402004 3.523363
1115116139 430937 3.215771
1115116140 453585 3.119156
1115116141 479426 2.812031
1115116142 501294 3.066902
1115116143 526444 2.786513
1115116144 554960 3.065752
1115116145 575838 2.470017
