% positionObs.txt
% 
% This file contains position observations taken from within the stage simulation.  The
% observations are decimated and Gaussian noise with standard deviation of 0.5m has been
% added to the true position.
%
% time(s) time(micro-seconds) X(m) Y(m)
%
1115116000 462817 0.106859 0.396263
1115116001 288000 -0.200265 0.301678
1115116002 108423 0.032469 -0.029203
1115116002 926341 -0.818998 -0.554333
1115116003 746034 0.983374 1.072115
1115116004 561256 0.383700 -0.676411
1115116005 386053 0.672983 0.228511
1115116006 205745 1.234324 0.194587
1115116007 25850 -0.477370 1.029507
1115116007 845459 0.302184 -0.184659
1115116008 665356 0.878092 0.682066
1115116009 485327 1.165919 -0.346199
1115116010 305340 0.732424 -0.044203
1115116011 125773 1.258140 0.162400
1115116011 946367 0.587697 -0.766095
1115116012 766044 1.189162 -0.071422
1115116013 583142 1.206143 0.406251
1115116014 400195 1.897478 -0.531619
1115116015 218837 1.202317 0.611785
1115116016 43866 1.055459 -1.136735
1115116016 863795 1.084724 0.476402
1115116017 683791 1.681358 -1.044413
1115116018 502142 1.171097 -1.020175
1115116019 323697 2.340732 -1.733051
1115116020 144915 1.817135 -2.371685
1115116020 963026 1.678327 -1.673709
1115116021 783037 1.430309 -1.340833
1115116022 599520 1.651881 -1.339502
1115116023 423678 2.154851 -2.710425
1115116024 242630 0.352084 -2.954147
1115116025 62585 2.106453 -2.330331
1115116025 882659 1.262771 -2.209513
1115116026 703932 1.444261 -1.148695
1115116027 517768 1.869320 -2.670946
1115116028 342167 1.695225 -2.600208
1115116029 162019 0.558878 -2.457151
1115116029 983428 0.570167 -3.429851
1115116030 801951 1.557793 -3.959803
1115116031 622223 0.758732 -4.431160
1115116032 441248 0.334361 -3.278578
1115116033 373125 0.891431 -3.881428
1115116034 393011 0.774192 -3.585260
1115116035 416905 0.285346 -4.915117
1115116036 448638 0.193081 -4.459616
1115116037 473708 0.767336 -4.211298
1115116038 488375 -0.458119 -5.174990
1115116039 522294 0.968384 -5.739070
1115116040 546595 0.439660 -6.773213
1115116041 562907 -0.262557 -5.537624
1115116042 594441 -0.366511 -5.956207
1115116043 620391 -1.110988 -6.820358
1115116044 644615 -1.467828 -6.243510
1115116045 662966 -1.027242 -5.477751
1115116046 489500 -1.033234 -6.369820
1115116047 301001 -1.082730 -6.404150
1115116048 129261 -2.020228 -5.823010
1115116048 948572 -1.875589 -6.394744
1115116049 762615 -1.420741 -6.950672
1115116050 588458 -1.468837 -6.435171
1115116051 399415 -2.977979 -5.631202
1115116052 227281 -1.828981 -6.325927
1115116053 47034 -3.218790 -4.993158
1115116053 858976 -3.651641 -5.377210
1115116054 686209 -3.173261 -5.258578
1115116055 499718 -3.630148 -4.938655
1115116056 319848 -3.164204 -4.971076
1115116057 144662 -3.532596 -5.015155
1115116057 964395 -4.723044 -4.267346
1115116058 784511 -5.516559 -3.619156
1115116059 596505 -3.751711 -3.242601
1115116060 424363 -4.527499 -4.141404
1115116061 244151 -3.556976 -3.146374
1115116062 57738 -3.199848 -3.824726
1115116062 884248 -4.455544 -2.424752
1115116063 695906 -3.441049 -2.855535
1115116064 524609 -3.839754 -2.485647
1115116065 344299 -4.194464 -1.498406
1115116066 164755 -3.096959 -3.155402
1115116066 985100 -4.119325 -1.820542
1115116067 797266 -3.224100 -2.181246
1115116068 626044 -3.022062 -2.178155
1115116069 446327 -4.838475 -0.871297
1115116070 266910 -2.295227 -1.153288
1115116071 79383 -3.065938 -0.884663
1115116071 899176 -3.192966 -0.431962
1115116072 717959 -4.053585 -0.456675
